<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20210714,000000,5962.0000000,5984.0000000,5940.0000000,5946.0000000,4904
AKRN,D,20210715,000000,5944.0000000,6002.0000000,5916.0000000,5974.0000000,1860
AKRN,D,20210716,000000,5976.0000000,6030.0000000,5976.0000000,5994.0000000,1650
AKRN,D,20210719,000000,5992.0000000,6014.0000000,5922.0000000,5964.0000000,2522
AKRN,D,20210720,000000,5960.0000000,5982.0000000,5934.0000000,5982.0000000,1137
AKRN,D,20210721,000000,5980.0000000,6004.0000000,5950.0000000,5994.0000000,625
AKRN,D,20210722,000000,5996.0000000,6020.0000000,5962.0000000,5996.0000000,1630
AKRN,D,20210723,000000,6002.0000000,6040.0000000,5966.0000000,6018.0000000,874
AKRN,D,20210726,000000,6004.0000000,6058.0000000,5984.0000000,6016.0000000,2443
AKRN,D,20210727,000000,6002.0000000,6982.0000000,5988.0000000,6054.0000000,5357
AKRN,D,20210728,000000,6088.0000000,6090.0000000,6042.0000000,6060.0000000,1323
AKRN,D,20210729,000000,6062.0000000,6100.0000000,6016.0000000,6080.0000000,2644
AKRN,D,20210730,000000,6074.0000000,6080.0000000,6030.0000000,6052.0000000,1342
AKRN,D,20210802,000000,6052.0000000,6074.0000000,6004.0000000,6052.0000000,2112
AKRN,D,20210803,000000,6042.0000000,6076.0000000,6000.0000000,6008.0000000,2755
AKRN,D,20210804,000000,6008.0000000,6046.0000000,5944.0000000,5946.0000000,5652
AKRN,D,20210805,000000,5970.0000000,6022.0000000,5970.0000000,5994.0000000,1391
AKRN,D,20210806,000000,5994.0000000,6016.0000000,5964.0000000,5980.0000000,918
AKRN,D,20210809,000000,5980.0000000,6042.0000000,5974.0000000,5980.0000000,2879
AKRN,D,20210810,000000,5972.0000000,6000.0000000,5928.0000000,5972.0000000,2340
AKRN,D,20210811,000000,5996.0000000,6000.0000000,5976.0000000,6000.0000000,1025
AKRN,D,20210812,000000,6000.0000000,6008.0000000,5920.0000000,5928.0000000,5384
AKRN,D,20210813,000000,5926.0000000,5940.0000000,5884.0000000,5900.0000000,3265
AKRN,D,20210816,000000,5938.0000000,5938.0000000,5896.0000000,5916.0000000,2605
AKRN,D,20210817,000000,5904.0000000,5920.0000000,5886.0000000,5908.0000000,2358
AKRN,D,20210818,000000,5900.0000000,5928.0000000,5898.0000000,5924.0000000,2042
AKRN,D,20210819,000000,5922.0000000,5956.0000000,5886.0000000,5948.0000000,4388
AKRN,D,20210820,000000,5946.0000000,5972.0000000,5934.0000000,5972.0000000,948
AKRN,D,20210823,000000,5984.0000000,6104.0000000,5982.0000000,6026.0000000,6751
AKRN,D,20210824,000000,6034.0000000,6090.0000000,6016.0000000,6090.0000000,4251
AKRN,D,20210825,000000,6092.0000000,6680.0000000,6086.0000000,6508.0000000,25374
