<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOG-RM,D,20210721,000000,196022.0000000,196022.0000000,194448.0000000,195963.0000000,59
GOOG-RM,D,20210722,000000,195963.0000000,199215.0000000,195565.0000000,198036.0000000,44
GOOG-RM,D,20210723,000000,198394.0000000,204526.0000000,198394.0000000,203100.0000000,95
GOOG-RM,D,20210726,000000,205441.0000000,205964.0000000,203516.0000000,205964.0000000,132
GOOG-RM,D,20210727,000000,206949.0000000,207457.0000000,199208.0000000,204050.0000000,295
GOOG-RM,D,20210728,000000,204629.0000000,205704.0000000,200046.0000000,200100.0000000,156
GOOG-RM,D,20210729,000000,199347.0000000,200993.0000000,198150.0000000,198150.0000000,134
GOOG-RM,D,20210730,000000,198228.0000000,198508.0000000,196800.0000000,198094.0000000,104
GOOG-RM,D,20210802,000000,200098.0000000,200142.0000000,196517.0000000,198207.0000000,60
GOOG-RM,D,20210803,000000,199066.0000000,199372.0000000,196379.0000000,199272.0000000,87
GOOG-RM,D,20210804,000000,199085.0000000,199500.0000000,197818.0000000,199246.0000000,73
GOOG-RM,D,20210805,000000,199625.0000000,200245.0000000,198979.0000000,199840.0000000,31
GOOG-RM,D,20210806,000000,199769.0000000,201550.0000000,199601.0000000,201550.0000000,70
GOOG-RM,D,20210809,000000,206660.0000000,206660.0000000,200457.0000000,203200.0000000,102
GOOG-RM,D,20210810,000000,203004.0000000,204940.0000000,203004.0000000,204441.0000000,88
GOOG-RM,D,20210811,000000,204088.0000000,204384.0000000,201945.0000000,202090.0000000,70
GOOG-RM,D,20210812,000000,202090.0000000,203500.0000000,201617.0000000,203354.0000000,56
GOOG-RM,D,20210813,000000,202941.0000000,203667.0000000,202280.0000000,202899.0000000,28
GOOG-RM,D,20210816,000000,202899.0000000,203322.0000000,199840.0000000,203264.0000000,91
GOOG-RM,D,20210817,000000,202855.0000000,203621.0000000,201747.0000000,201747.0000000,52
GOOG-RM,D,20210818,000000,202326.0000000,204000.0000000,201697.0000000,201894.0000000,67
GOOG-RM,D,20210819,000000,200166.0000000,204056.0000000,200166.0000000,203007.0000000,68
GOOG-RM,D,20210820,000000,203000.0000000,205933.0000000,203000.0000000,205472.0000000,103
GOOG-RM,D,20210823,000000,206500.0000000,210398.0000000,205327.0000000,209133.0000000,108
GOOG-RM,D,20210824,000000,209389.0000000,210783.0000000,209002.0000000,210288.0000000,65
GOOG-RM,D,20210825,000000,211282.0000000,211755.0000000,209942.0000000,211755.0000000,53
GOOG-RM,D,20210826,000000,211177.0000000,212641.0000000,211161.0000000,211161.0000000,66
GOOG-RM,D,20210827,000000,211562.0000000,213322.0000000,211000.0000000,212561.0000000,86
GOOG-RM,D,20210830,000000,213839.0000000,215000.0000000,212949.0000000,214277.0000000,105
GOOG-RM,D,20210831,000000,214682.0000000,214682.0000000,213000.0000000,213574.0000000,69
GOOG-RM,D,20210901,000000,213964.0000000,214400.0000000,212718.0000000,213105.0000000,96
GOOG-RM,D,20210902,000000,213474.0000000,213474.0000000,210300.0000000,210300.0000000,57
GOOG-RM,D,20210903,000000,210729.0000000,211278.0000000,208794.0000000,211000.0000000,86
GOOG-RM,D,20210907,000000,212888.0000000,213888.0000000,212000.0000000,213077.0000000,130
GOOG-RM,D,20210908,000000,213711.0000000,213713.0000000,211417.0000000,212363.0000000,67
GOOG-RM,D,20210909,000000,212191.0000000,212303.0000000,210638.0000000,211748.0000000,45
GOOG-RM,D,20210910,000000,211757.0000000,212800.0000000,207464.0000000,208150.0000000,81
GOOG-RM,D,20210913,000000,207072.0000000,209571.0000000,207072.0000000,208805.0000000,97
GOOG-RM,D,20210914,000000,209536.0000000,209936.0000000,208375.0000000,209000.0000000,113
GOOG-RM,D,20210915,000000,210283.0000000,210283.0000000,206800.0000000,209962.0000000,88
GOOG-RM,D,20210916,000000,210595.0000000,210595.0000000,208629.0000000,209182.0000000,33
GOOG-RM,D,20210917,000000,209757.0000000,210036.0000000,205800.0000000,206050.0000000,69
GOOG-RM,D,20210920,000000,206050.0000000,206263.0000000,201953.0000000,204000.0000000,139
GOOG-RM,D,20210921,000000,205340.0000000,205882.0000000,203856.0000000,204191.0000000,102
GOOG-RM,D,20210922,000000,204225.0000000,206199.0000000,203545.0000000,206199.0000000,81
GOOG-RM,D,20210923,000000,206402.0000000,206977.0000000,205095.0000000,206166.0000000,91
GOOG-RM,D,20210924,000000,206976.0000000,207893.0000000,205843.0000000,207893.0000000,34
GOOG-RM,D,20210927,000000,207503.0000000,207514.0000000,204778.0000000,205300.0000000,57
GOOG-RM,D,20210928,000000,205000.0000000,205000.0000000,198153.0000000,198154.0000000,89
GOOG-RM,D,20210929,000000,199695.0000000,200894.0000000,195953.0000000,196592.0000000,84
GOOG-RM,D,20210930,000000,196491.0000000,197194.0000000,194227.0000000,194227.0000000,49
GOOG-RM,D,20211001,000000,193500.0000000,199166.0000000,192522.0000000,198675.0000000,83
GOOG-RM,D,20211004,000000,197780.0000000,198233.0000000,190709.0000000,192851.0000000,57
GOOG-RM,D,20211005,000000,195009.0000000,198494.0000000,194150.0000000,197411.0000000,195
GOOG-RM,D,20211006,000000,195675.0000000,199007.0000000,194921.0000000,198953.0000000,28
GOOG-RM,D,20211007,000000,199797.0000000,201330.0000000,199797.0000000,200140.0000000,60
GOOG-RM,D,20211008,000000,199803.0000000,201752.0000000,199803.0000000,201040.0000000,44
GOOG-RM,D,20211011,000000,201040.0000000,201664.0000000,199500.0000000,199500.0000000,43
GOOG-RM,D,20211012,000000,199405.0000000,200238.0000000,196010.0000000,196423.0000000,47
GOOG-RM,D,20211013,000000,196028.0000000,199232.0000000,196028.0000000,198683.0000000,36
GOOG-RM,D,20211014,000000,199759.0000000,202063.0000000,199248.0000000,201611.0000000,51
GOOG-RM,D,20211015,000000,202565.0000000,202628.0000000,200300.0000000,201112.0000000,28
GOOG-RM,D,20211018,000000,201499.0000000,203745.0000000,201002.0000000,203745.0000000,23
GOOG-RM,D,20211019,000000,204007.0000000,204116.0000000,202974.0000000,203995.0000000,60
GOOG-RM,D,20211020,000000,204009.0000000,204711.0000000,201276.0000000,201276.0000000,36
GOOG-RM,D,20211021,000000,202014.0000000,202885.0000000,196334.0000000,197420.0000000,50
GOOG-RM,D,20211022,000000,200092.0000000,200093.0000000,193429.0000000,195127.0000000,132
GOOG-RM,D,20211025,000000,196521.0000000,196521.0000000,191300.0000000,195200.0000000,117
GOOG-RM,D,20211026,000000,195574.0000000,195681.0000000,189901.0000000,195000.0000000,130
GOOG-RM,D,20211027,000000,193746.0000000,209500.0000000,192995.0000000,206503.0000000,379
GOOG-RM,D,20211028,000000,207003.0000000,207570.0000000,203279.0000000,204875.0000000,92
GOOG-RM,D,20211029,000000,205900.0000000,210644.0000000,205300.0000000,210000.0000000,277
GOOG-RM,D,20211101,000000,211716.0000000,212121.0000000,205500.0000000,205977.0000000,286
GOOG-RM,D,20211102,000000,206366.0000000,210572.0000000,205774.0000000,208800.0000000,199
GOOG-RM,D,20211103,000000,208948.0000000,211063.0000000,208491.0000000,211063.0000000,75
GOOG-RM,D,20211105,000000,213174.0000000,214255.0000000,212231.0000000,212540.0000000,152
GOOG-RM,D,20211108,000000,212647.0000000,215233.0000000,212647.0000000,212647.0000000,108
GOOG-RM,D,20211109,000000,213400.0000000,213400.0000000,209856.0000000,210883.0000000,112
GOOG-RM,D,20211110,000000,211200.0000000,211200.0000000,207164.0000000,208575.0000000,149
GOOG-RM,D,20211111,000000,209426.0000000,211353.0000000,208886.0000000,210785.0000000,63
GOOG-RM,D,20211112,000000,210871.0000000,218623.0000000,210871.0000000,218022.0000000,184
GOOG-RM,D,20211115,000000,217334.0000000,218477.0000000,215800.0000000,217002.0000000,84
GOOG-RM,D,20211116,000000,217002.0000000,219524.0000000,217002.0000000,218571.0000000,80
GOOG-RM,D,20211117,000000,217746.0000000,217746.0000000,215265.0000000,216943.0000000,72
GOOG-RM,D,20211118,000000,217084.0000000,221674.0000000,217035.0000000,221035.0000000,124
GOOG-RM,D,20211119,000000,220858.0000000,222973.0000000,220333.0000000,220626.0000000,151
GOOG-RM,D,20211122,000000,220411.0000000,225135.0000000,220411.0000000,221249.0000000,173
GOOG-RM,D,20211123,000000,220678.0000000,221475.0000000,215864.0000000,217621.0000000,158
GOOG-RM,D,20211124,000000,200799.0000000,220609.0000000,200799.0000000,220376.0000000,75
GOOG-RM,D,20211126,000000,220152.0000000,220957.0000000,215000.0000000,215000.0000000,228
GOOG-RM,D,20211129,000000,215744.0000000,219128.0000000,214263.0000000,218751.0000000,114
GOOG-RM,D,20211130,000000,219534.0000000,219534.0000000,211992.0000000,211992.0000000,81
GOOG-RM,D,20211201,000000,214206.0000000,215380.0000000,212418.0000000,212481.0000000,218
GOOG-RM,D,20211202,000000,211260.0000000,212659.0000000,208609.0000000,212659.0000000,62
GOOG-RM,D,20211203,000000,212238.0000000,213054.0000000,208990.0000000,209622.0000000,62
GOOG-RM,D,20211206,000000,211024.0000000,214315.0000000,208182.0000000,213950.0000000,131
GOOG-RM,D,20211207,000000,213539.0000000,219431.0000000,213539.0000000,218372.0000000,84
GOOG-RM,D,20211208,000000,219165.0000000,219553.0000000,217261.0000000,218049.0000000,60
GOOG-RM,D,20211209,000000,219469.0000000,220058.0000000,218214.0000000,219000.0000000,51
GOOG-RM,D,20211210,000000,217822.0000000,219170.0000000,216917.0000000,218158.0000000,47
GOOG-RM,D,20211213,000000,219480.0000000,219480.0000000,215882.0000000,216820.0000000,40
GOOG-RM,D,20211214,000000,212484.0000000,215647.0000000,209317.0000000,214335.0000000,123
GOOG-RM,D,20211215,000000,213319.0000000,216378.0000000,210829.0000000,216020.0000000,67
GOOG-RM,D,20211216,000000,217791.0000000,218800.0000000,212830.0000000,213693.0000000,61
GOOG-RM,D,20211217,000000,213095.0000000,214638.0000000,210911.0000000,213016.0000000,79
GOOG-RM,D,20211220,000000,211796.0000000,212173.0000000,208480.0000000,210567.0000000,87
GOOG-RM,D,20211221,000000,212669.0000000,213743.0000000,210121.0000000,213629.0000000,68
GOOG-RM,D,20211222,000000,213303.0000000,217000.0000000,211826.0000000,216179.0000000,55
GOOG-RM,D,20211223,000000,216181.0000000,218131.0000000,215100.0000000,216493.0000000,68
GOOG-RM,D,20211227,000000,217134.0000000,218100.0000000,215790.0000000,217185.0000000,48
GOOG-RM,D,20211228,000000,219500.0000000,219500.0000000,215700.0000000,216288.0000000,59
GOOG-RM,D,20211229,000000,216981.0000000,217335.0000000,215919.0000000,217313.0000000,54
GOOG-RM,D,20211230,000000,217862.0000000,220499.0000000,217465.0000000,218000.0000000,131
